text,source
the pay to help surport my family as im the only one working we dont get any other help,Breakroom Global
"200 stops a day, not enough paid for the job done, not enough fuel money.",Breakroom Global
"horrible team leads, amazon will make you leave at a drop of a hat. Its like being in a really bad school and none of the pupils are cared about beyond their own department",Breakroom Global
I like my work because there is soo many thing to do n there is lots of nice thing to I do I like work in warehouse,Breakroom Global
"All information regarding my work ability is in data form, rather than someone’s opinion.",Breakroom Global
It pay the bills but you have no life to enjoy just making the rich  rich,Breakroom Global
The people I work with the ease of progression recognition of achievements job stability,Breakroom Global
StructureHard workFull timeGreat paySet shiftsGood peopleProgression,Breakroom Global
Its regular work same shift overtime paid at time and a half . Covid testing every week . Have a laugh and joke with work mates . 3 day week end.t,Breakroom Global
"Worst things are the four 10 hour shifts,  repetitive boring work , walking long distances pulling a pallet truck with stock loaded for sorting , language barrier with eu management .",Breakroom Global
"Money dropped £20 a day after xmas, working out hourly wage works out about min wage, not worth it",Breakroom Global
You get transport but u have to pay for it of your wages paid training before you start,Breakroom Global
"Not getting enough work , bad management  getting sent out to do a different route every day with max amount when u just start",Breakroom Global
HoursWork scheduleNo respectAnything managers do when they are in the wrong is brushed under the carpet,Breakroom Global
Best thing is the job  is super easy to get because it's rubbish  and too much risk On road and not many people staying long here so the always needs someone,Breakroom Global
Getting our vehicle nicked Getting attacked.Too many hours minimum 8 hours without breake.Danger in roads.So much stress.Keep asking us to deliver  this NOW deliver that NOW.Working in any weather condition like rain snow.ALSOSuper easy to get sacked.Once i handed a parcel to customer  then 20 minutes later customer service called me and said  customer called them and said he is not even at home how come parcel been delivered to him.I came back to customer house knocked the door he came out.......Long story shortHe wanted another free parcel.Amazon off boarded me to 10 days.I fought back to get the job back.I was hopeless and felt Fragile.I just needed money to pay my rent.,Breakroom Global
Get plenty of exercise whilst working not stressful just hard physical work. I enjoy the variety of jobs,Breakroom Global
Not knowing your shifts til last minute & not guaranteed hours,Breakroom Global
"You know exactly when you’re working, it’s easy good pay for what it is",Breakroom Global
"Boring, a very racist place to work, managers don’t listen to what you have to say",Breakroom Global
Working on your own means you only have yourself to worry about,Breakroom Global
"Choose days to work, go home when work is finished, pay can be good",Breakroom Global
"Lack of organisation at times, working in all weathers, working in the dark.",Breakroom Global
"This is a really bad job - I would not recommend it at all. Managers are really strict about targets, there is regular electrical faults and often leave with blisters.",Breakroom Global
"Unreliable shifts, supervisor are incredibly strict and we aren’t given enough break",Breakroom Global
"Last minute rota changes, bad pay for night shifts, no training",Breakroom Global
The hoursThe payNo need to stressYou work as fast or as slow as you like,Breakroom Global
Fixed shift pattern of 4 days a week with 3 days off.Reasonable starting wage and decent overtime rates.,Breakroom Global
"Overwhelmed with work load, they try to do too much for the same money",Breakroom Global
"Working like a slave illegal driving hours, being made to log off before finishing work",Breakroom Global
Team work with other drivers always help each other out if we get chance to,Breakroom Global
