text,rating,job_title,platform,source
Great place to work. really good people.,5,Anonymous Employee,careerbliss,amazon
I've worked at Amazon for 3 years as a warehouse associate before my current role as a data analyst. The work was difficult as an associate but is manageable as long as you don't have bad managers and depending on the department you're in bad co-workers who can also set you up for failure.  I just got into my current role as a data analyst which is ok because I have a good boss but he's hard to read on expectations.,3.1,Anonymous Employee,careerbliss,amazon
I've worked at Amazon for almost a year. I love the environment. It is friendly and safe,5,Associate,careerbliss,amazon
I have been with Amazon for the past 4 years and I have no complaints. It is the best place to work.,4.8,Anonymous Employee,careerbliss,amazon
"Amazon is an interesting place to work. You have on hand and continues improving technology and quality system to learn from and grow into the work life. 
Warehouse safety is strictly enforced. There are rooms for self improvement - on the job, on-site formal training and out-of site formal training. Compensation -tangible and non-tangible to me are +++",4.9,Anonymous Employee,careerbliss,amazon
"It is a good company, but I may not be good to everyone. I am an independent contractor. I don't have anyone over my shoulder. They only problem I have with amazon because they always try to make everything about them.",4.5,Anonymous Employee,careerbliss,amazon
I’ve worked as an SDE intern. The work was focused on machine learning & big data fields.,4.6,Software Developer,careerbliss,amazon
Great job! No complaints. I just love starting pay good and I look forward to working part time,4,Warehouse Technician,careerbliss,amazon
I worked for amazon for about a year now. It’s an alright place to work at for the moment but there's no future for me there,4.4,Warehouse Associate,careerbliss,amazon
Great company to work for.,4,Delivery Operations Manager,careerbliss,amazon
"Its a company you love to work with. Great work, great learning. You have great mentors to guide you. Best part is their open door policy. 

My career was great here. I would recommend this company to everyone.",4.6,Operations Manager,careerbliss,amazon
"I interned at Amazon for 8 weeks during summer 2020 as part of their operations intern program. During my brief time at the company, I learned a great deal and truly believe it has been a great eye-opening experience. To be working for one of the world's leading companies was fascinating to experience especially in my role as Robotics Area Manager, I got the opportunity to work with the high-tech and sophisticated Amazon Robotics system.",4.6,Area Manager,careerbliss,amazon
I've worked at Amazon distribution center for half a year and it was alright.,4.1,Anonymous Employee,careerbliss,amazon
I worked at MDW 7 for seven years.,5,Anonymous Employee,careerbliss,amazon
"I have worked for Amazon since July of 2020.  The training could have been worse, but it was made better by a good facility - clean, organized, and the health standards are maintained strictly.",4,Associate,careerbliss,amazon
"I've worked with Amazon indirectly. I didn't work for the firm directly but working with my supervisor, I loved every bit of it. Though the pay was little because it wasn't only me that was writing at the time, but it felt great. I learnt alot. I improved and I want to do better.",3.8,Content Writer,careerbliss,amazon
"Amazon is a very busy and large company.  It does seem to lose the employee in the large amount of workers and large warehouse.  I enjoyed my job, but I did not feel appreciated for my hard work.  I always do more than is required of me.  It is part of my work ethic.  They do not see it.  I also made a few suggestions about places that i felt we could do to help the worker do his job faster and cleaner. They would say they were great suggestions, but did not use them.  They are so busy it is hard to make changes even for the better.",3.9,Anonymous Employee,careerbliss,amazon
great people and wonderful environment to grow your skills,4.9,Transportation Specialist,careerbliss,amazon
its a high speed package sorting and distribution center. Requires a lot of patience to work in a hot warehouse and physically demanding.,2.6,Anonymous Employee,careerbliss,amazon
"I worked for Amazon from 2018 to 2019. I left to focus on school. Since I left on good terms, I'm going back for part time for financial reasons. Great company!",5,Ambassador,careerbliss,amazon
Working for Amazon is fast paced and intense. It's a great active working environment that gives you many opportunities if you're willing to put in the hard work and execute.,4.8,Area Manager,careerbliss,amazon
I worked for Amazon for 4.5 moths as a delivery driver. This company has very competitive rates but without advancement to move up in the company. I appreciated this job because it wasn't a task that had a deadline.,3.1,Delivery Driver,careerbliss,amazon
I found it amazing place to begin with especially when you are recent grad.,4,Intern,careerbliss,amazon
I have worked for Amazon as SDE summer intern. It is a nice experience.,4,Anonymous Employee,careerbliss,amazon
I hurt my back and wrist.,2,Anonymous Employee,careerbliss,amazon
"Amazon is always expanding, however it is a company that continues to stay true to it's core value - customer obsession. The company is filled with strong leaders and some of the smartest people I've ever met.",4.1,Anonymous Employee,careerbliss,amazon
Why are you asking me to reviewt a previous employer when I'm applying for a new job??,2.6,Facilities Technician,careerbliss,amazon
It was a short term contract with limited opportunity. I feel any contractual position should be of at least 6 months.,4,Anonymous Employee,careerbliss,amazon
I have had the best working experience here.,5,Network Engineer,careerbliss,amazon
Amazon could be a very good and fun place to work. It lacks actual sympathy for the employees.,4.1,Systems Developer,careerbliss,amazon
"I worked at Amazon since September 2017. Amazon is a great company with strong focus on its customers, and building products and services to remove customer obstacles. It has a strong organizational culture with excellent mechanisms to implement and execute on its strategies. The colleagues there are smart and collaborative.",4.8,Head of Product,careerbliss,amazon
I’ve been working for Amazon for 3 months. I enjoyed my time there the managers where very helpful and caring as far as individual goals. Two in particular really went of there way once they found out I was in school and about to graduate in the OSHA program to help land a safety job with amazon. I’m very grateful.,3,Anonymous Employee,careerbliss,amazon
I've worked for Amazon for two years as a software engineer and I have learned a lot technically and professionally during this time.,4.9,Software Engineer,careerbliss,amazon
"Very good work place for someone who loves working, someone who wants work life balance, not so much!",4.8,Facility Manager,careerbliss,amazon
"I've worked for Amazon for about 6 months as an overnight Sort Associate.  Fairly easy job, lots of standing and plenty of work.  Hardest part of the job is the hours because you'd rather be sleeping than working hard.",4.3,Associate,careerbliss,amazon
I work for Amazon it is a great place to work with great advancement opportunities. My relationship with my supervisor is very strong.The compensation is very competitive and above average. My co-workers know they can come to me with any concerns they may have.,4.9,Anonymous Employee,careerbliss,amazon
I like the company very much.,4,Software Development Engineer,careerbliss,amazon
I recently worked for amazon for a brief period of time. The demand and work schedule could have been better but I gained a lot of experience I can use in the job industry moving forward.,3.6,Packager,careerbliss,amazon
"Amazon is a world-class e-commerce leader, driving innovation and customer experience to new levels.  Constant innovation and desire to exceed expectations make working for Amazon to be a daily challenge and personally rewarding.",3.8,Anonymous Employee,careerbliss,amazon
I have nothing to add about Amazon that hasn't already been said about the company and its work practices.,2.1,Anonymous Employee,careerbliss,amazon
"Good Company, beautiful architecture and a good compensation structure. Never had a bad experience with the salary payment on time, never had a bad experience with the server or the punch card.

 ""You must try it out to experience yourself""",4.4,Sourcing Recruiter,careerbliss,amazon
"Nice, fast paced place to work.  Great benefits.",3.9,Fulfillment Associate,careerbliss,amazon
Excellent company to work with. At the forefront of innovation and out of the box thinking.,4.9,Anonymous Employee,careerbliss,amazon
