text,rating,job_title,platform,source
"Great benefits at Amazon, but the work environment isn't the best, as well as the management.",3.3,Associate,careerbliss,amazon
"I've worked for Amazon in HR over 2 years, and my team is amazing. It really helps offset the chaotic and lack of communication that we experience daily. The upside of the chaos is that you learn so much so fast.",3.6,Anonymous Employee,careerbliss,amazon
"I worked for Amazon for over 5 years and had 7 different managers during that time. If you are lucky enough to find a team and manager who is supportive of your career, then you will do well. Turnover can be significant, but there are a lot of talented individuals who work here. This is a great place to start your career and learn a lot of necessary skills.",3.3,Anonymous Employee,careerbliss,amazon
"Worked at ONT5 Warehouse for about a year. In my time, I started out as a seasonal employee for the holiday season and moved up to part time as there was no full time position. As a full time, the details are the same as seasonal but with more pay and benefits such as health insurance. Work week consists of five four hour work days with chances to work extra hours. I was working only because I was in a gap year between school and did not need to pay for necessities; but if I did, I would have needed to work the maximum extra hours every week in order to make enough money for necessities.",3.8,Warehouse Associate,careerbliss,amazon
I have been at Amazon for about 5 going on 6 years now and I would have to say it one of the best companies I have worked for. I have learned so much about the process of vendors shipping products to and from.,5,Warehouse Associate,careerbliss,amazon
Amazon is a troubled company and I didn't quite understand the depth of these issues until working there. The company is so detached from the fulfillment centers yet imposes a steel grip on anyone involved in touching the systems at these sites.,2.4,Anonymous Employee,careerbliss,amazon
"it's such a different place than when I started, but it's growing in momentum for a younger generation",3.5,Anonymous Employee,careerbliss,amazon
I have worked at amazon for about 6 months. It is a good job to make some money and keep yourself afloat if you are in a transition stage into the workforce and have not found a job in your field just yet. It is a physical job where you are required to stand for 10 hour shifts with very little breaks.,3.3,Warehouse Associate,careerbliss,amazon
"I began work at Amazon in July of 2019.  
A great reputation within the network and many people outside of my area spoke highly of other operations.  Co-workers expressed
concerns from transferring from other locations and the operational differences and concerns.  A huge amount of turnover between senior managers, operation managers, and assistant managers due to work conditions and leadership.  I found the environment to be very toxic. 
Unfortunately many promises made and none of them kept regarding shifts and working conditions.",2.8,Anonymous Employee,careerbliss,amazon
This is a strong and fast-growing company that is amazing for anyone beginning their career. It really helps you discover yourself as a leader and as a manager in order to start your career out strong. You will have the ability to take on anything if you are successful with this company.,4.1,Anonymous Employee,careerbliss,amazon
"I have worked for amazon since 2019, it's a great data-driven company with a strong foundation in technology. It would be a great place to work for if you are not afraid to work hard and always have the attitude of learning, problem-solving",3.4,Anonymous Employee,careerbliss,amazon
I joined a team of entrepreneurs who are passionate about building an internal automated training tool from the scientific perspective. Everyone was eager to help each other and happy to grow as a team.,3.9,Anonymous Employee,careerbliss,amazon
"I've worked for Amazon for a little over a year. I've found it to be a strong company with good values, having several locations over the Atlanta area.",3.4,Driver,careerbliss,amazon
I have work for Amazon since 2019. Overall I have found it to be a good company that has different positions that you can learn to different things. The company has two locations in Baltimore Maryland that has over 1000 plus works,4.6,Anonymous Employee,careerbliss,amazon
I just started working for Amazon as a Virtual customer representative. I enjoy working form home. My managers are really kind and helpful when they are needed. During these hard times I am glad I got the opportunity to be working for them.,4.5,Anonymous Employee,careerbliss,amazon
Overall It was a decent experience. I had problems with how hard they made us work and the number of units that were required for us to ship daily. On top of not having high enough pay for all the work required of us. Other than that the people and staff members are good people that you can begin to become good friends with.,3.4,Anonymous Employee,careerbliss,amazon
I've worked at Amazon since 2020. The company culture is very welcoming and positive. They encourage workers to put their best foot forward to produce the best result for the customers and investors.,4.9,Operator,careerbliss,amazon
"My experience at Amazon has been good. I've learned and grown so much since working there and learn how to balance out my time management as well. Entering the company with no knowledge of the company internally was overwhelming, but I learned a lot in the process of starting until where I am today.",3.6,Area Manager,careerbliss,amazon
A great company culture where accountability and ownership are rewarded.,4.1,Seasonal Associate,careerbliss,amazon
"It's a great opportunity for anyone looking to learn, use cutting edge tech solutions.",4.5,Anonymous Employee,careerbliss,amazon
"Great Company. Work hard, Have Fun and Make History!",5,Anonymous Employee,careerbliss,amazon
"amazon reseller, do your own job!",3,Anonymous Employee,careerbliss,amazon
"I have worked as a project engineer in oil & gas, petrochemicals, manufacturing companies for more than 15 years doing  project definition, design and construction. Additionally, I am familiar with and strong skills in estimating, budgeting, project  scheduling /control, procuring and bid preparation/contracts.
My experience could be extrapolated to other businesses for project execution for which I will be very competent.",4.5,Anonymous Employee,careerbliss,amazon
"I have worked as a Quality Assurance Intern for Sujay Industries during my undergrad in 2015. And my latest work experience is with Amazon in 2018. 
I was taught how to measure and examine the manufactured products and how to satisfy the customer's needs in my former and latter experiences. 
I am a team member. I always try to learn, work and grow every time I go in whichever field appoint",5,Anonymous Employee,careerbliss,amazon
"Great Company, however if you plan to get into Management it's best to not start as a Warehoiuse Associate, it takes too long to be recognized, apply on the outside, getting in and trying to work your way up takes too long.",3.8,Anonymous Employee,careerbliss,amazon
Amazon is the best company in the world to work for. Great opportunity to quickly advance your career if you are motivated to do so. Become an Amazonian.,4.3,Maintenance Technician,careerbliss,amazon
Too pushy. A guy with cancer could do chemotherapy and also work overtime. Amazing place,2.1,Anonymous Employee,careerbliss,amazon
"my most recent comopany was amazon but i would like to talk about my previous company American Express. American express is a great opportunity for new cold members to get a feel of what they are getting into as far as advanced credit, it give the employees a chance to be apart of that new exploitation. being an american express employee gave me the opportutinity to work on my customer service skills. as well as time management.",5,Anonymous Employee,careerbliss,amazon
It is amazing to be part of the amazon family and being Amazonian.,4.1,Anonymous Employee,careerbliss,amazon
really would prefer something closer to home,4.1,Fulfillment Center Associate,careerbliss,amazon
Amazon is a great company to work for where you are only limited by your skills and imagination to build something new.,4.5,Product Manager,careerbliss,amazon
I worked in Amazon for 4 years. I would highly recommend people to work there for high paced innovation in e-commerce.,4.6,Anonymous Employee,careerbliss,amazon
Amazon is an organization that provides many opportunities for their employees. Hard work is not a maybe but a must.,4.5,Anonymous Employee,careerbliss,amazon
"If you are looking for a fast paced, exciting, and data driven company then Amazon.com is where you want to be. In my time with the company i have learned so much about being customer centric, It is one of the principles that Amazon swears by. It something you will pick up and understand as you progress through out Amazon. One of the things i valued there was how you were developed as a person, you are trained however you are required to use your brain and co workers to solve a problem or task. So if that is up your ally in a career you are looking for than amazon it is at",4.6,Anonymous Employee,careerbliss,amazon
Good to work there. But too much politics.,3.9,Anonymous Employee,careerbliss,amazon
"I worked for Amazon as an on-boarding account manager for an counterfeit prevention program regarding the Amazon marketplace. I would highly recommend this position to anyone who likes to roll up their sleeves and get into the thick of things! If you enjoy putting the customer first, a sense of ambiguity in your job and being challenged on the daily,  Amazon is your go to!",4.6,Account Manager,careerbliss,amazon
nothing to say at this time,3,Anonymous Employee,careerbliss,amazon
"I've worked for Amazon for over a year now. Overall, it has been good because it gives me a stable income to support myself in School. It can be a challenging job environment that builds character.",4,Anonymous Employee,careerbliss,amazon
I worked at Amazon since 2018. It was definitely challenging but well worth it. It was a good environment but it wasn’t cut out for me. I loved meeting new people and seeing different faces throughout the peak period. It was wonderful talking and meeting new people every day and seeing how their lives are and how long they have been with Amazon.,4,Picker,careerbliss,amazon
"I have worked at amazon for almost a year now and I can say that its a great job for anyone who wants to start making up to $15/hr! I have a great management team that I work with, and they are more than willing to attend to any questions or comments we have at work, and go above and beyond to fix any problems. We try to maintain that same level of quality with our daily operations at work and for our customers. 

As a Sortation Associate, I attend to the tasks and duties at hand. This includes: Getting assigned for routes to be picked and staged at a timely manner, conducting crash sorts from delivery trucks sent onto a conveyer belt and then sorted to their assigned racks and taken out for driver pickup and delivery.

Although this is a very physically demanding job, I would definitely recommend this for everyone. It has great benefits and pays well!",4.5,Associate,careerbliss,amazon
"Amazon is a great place to build fundamental product management skills. The scope of opportunity varies significantly from team to team. Because of the company's size and complexity, some projects can be slow-moving and drawn out. Leadership changes occur frequently and many teams lack specific direction.",3.6,Anonymous Employee,careerbliss,amazon
I have worked at this company its a well know. Company and good environment but sometimes there is not guaranteed work or devices do not work,2.9,Anonymous Employee,careerbliss,amazon
Amazon is a great company. I really loved the amazing in house processes developed and adopted in every program. There are some issues with the work life balance.,4,Anonymous Employee,careerbliss,amazon
When first starting this position the pay and the routing was good. As time has progressed the routes have got worse(dirt roads and a routing system that has unfortunately got worse) has taken its toll.,2.4,Delivery Driver,careerbliss,amazon
"I’ve been with Amazon since 2014. Amazon is a great place to work if you’re looking for job security. Amazon is also big on safety, which reassures us that Amazon really cares about their employees. Amazon also offered great pay and benefits, which allowed my wife to be a full time mom.",4,Anonymous Employee,careerbliss,amazon
I’ve worked for Amazon for about 5 years and I have to say the company is very fast paced and hands on with a great compensation package for managers/supervisors,4,Anonymous Employee,careerbliss,amazon
"Exciting place to work, but be prepared to sacrifice your personal time to the job.",3.4,Anonymous Employee,careerbliss,amazon
I worked for Amazon as an SDE intern during the summer of 2019. I found the assigned project to be challenging and very relevant to Amazon's business.,4.6,Anonymous Employee,careerbliss,amazon
I have worked for Amazon for about 5 months now and honestly for the amount of work given it is decent pay honestly it’s just the taxes that make it not worth it sometimes. My bosses are great very accommodatable and helpful.,4.1,Delivery Driver,careerbliss,amazon
"I am part of Amazon Business - Pricing Group; handling various pricing initiatives. Recently, I delivered one of the biggest and most complex Amazon Business Pricing programs named ""Volume Aware Pricing"". I worked close to 25 internal & external teams and took this program from start to finish line & launched it in 7 regions (US, IT, FR, DE, ES, UK, JP).

I got the chance of working on a very critical, complex and high visible program.",5,Anonymous Employee,careerbliss,amazon
"I really enjoy engaging with the community and building relationships with community leaders.  I like reaching out to candidates to inform them of possible opportunities that fit their needs.  In doing so, I have built numerous connections within the community.  The amount of available resources Amazon has to offer its employees and the ability for us to use them has helped many employees focus on their short-term and long-term personal development plans.  This helps the employee become more successful at what they do.",4.8,Senior Coordinator,careerbliss,amazon
I’ve been employed with Amazon since 11/21/2019 recently converted to a full-time Amazonian. Amazon is a great company to work for with great benefits and opportunity advancements. There’s a lot of diversity and upper management focuses on employee relations on a daily basis. If you are a hard-working employee and customer-focused then this is the place for you.,4,Order Selector,careerbliss,amazon
"I have worked for Amazon since January of 2019, this company has nurtured me and taught me 80% of my knowledge regarding my professional career. They have great work ethic, sense of team work flourishes within the company and it is very fast paced. We have trainings almost every other week which enables us to learn different skills. The biggest setback about Amazon would be the high turnover of managers as no one tends to stick around, and the main reason would be long work hours(13+) and always increasing metric goals to which we submit reports which are tedious, long and reiterating. The way Amazon does process improvement is fantastic and I believe it is only a matter of time before they create new process for reporting metrics as well. But great company to work for overall.",4.4,Area Manager,careerbliss,amazon
I worked at Amazon until July 2018. Where I was able to impact recruiting in an internal space and help to drive promotions and expansions of our Operations network.,4.4,Anonymous Employee,careerbliss,amazon
Had great mentorship that helped prepare me for a role in enterprise software development.,5,Anonymous Employee,careerbliss,amazon
"Presently, I work part-time for Amazon/Prime Now.",4.4,Anonymous Employee,careerbliss,amazon
"I've worked at Amazon for 3 years as an IT support engineer.  I have found a tremendous amount of opportunities for growth and development.  We have the opportunity to work with many different technologies.  They help you not only grow with technical skills, but also teach leadership principles that translate to new positions outside of the company.",4.6,Anonymous Employee,careerbliss,amazon
I've worked at Amazon for over 2.5 years. The company is incredibly fast pace and allows great autonomy. I have learned more there than ever thought imagined. The downside to amazon is they are highly deliver results based and use every bit of there employees. There is not a balance between work and life.,3.8,Anonymous Employee,careerbliss,amazon
"I have worked for Amazon for the past 6 years in 3 different roles.  Great company, excellent transferable and applicable experience for this role.",5,Finance Director,careerbliss,amazon
"I've been working for amazon since Jan 2016. Currently, i manage five whole foods locations which ships groceries to customers door steps within 2 hours.",4.8,Regional Operations Manager,careerbliss,amazon
Amazon is an amazing company-- a wonderful place to learn and grow.,4.1,Anonymous Employee,careerbliss,amazon
I worked for Amazon as a Principal Technical Program Manager. Amazon has a strong ethos of customer focus and operational efficiency. At Amazon I learned to operate at a very large scale with 2 million B2B customers/advertisers. I had the opportunity to manage very large programs by coordinating 20+ global teams and managing regular communication with senior management. Overall it was a wonderful experience.,4.3,Anonymous Employee,careerbliss,amazon
"I can neither complain nor brag about Amazon. The job they hired me for is fine, I'm looking for better opportunities.",3.9,Anonymous Employee,careerbliss,amazon
Amazing company if you want to work on new cutting edge technology. You have plenty of opportunities to get to work on a variety of technologies. The only downside is hard to maintain work-life balance but overall it's a good company.,4.1,Anonymous Employee,careerbliss,amazon
"During my duration with Amazon, I have been given the opportunity to get experience in the field I am currently attending University for. I was able to experience Human Resources hands on and have continuously been learning through the entire process. I am now working with HR investigations and am still growing.",4.1,Anonymous Employee,careerbliss,amazon
Very good company in which you learn form the best and create working designs.,4.8,Anonymous Employee,careerbliss,amazon
"People are friendly and are willing to help each other. When you get stuck at some technical problems, feel free to reach out to others. You will learn a lot from them.",4,Anonymous Employee,careerbliss,amazon
A retail company that employs technology to reach its desired goals.,2.9,Anonymous Employee,careerbliss,amazon
Good company culture but just have no time to handle oncalls and person the and master study time together. Overall experience is good,3,Anonymous Employee,careerbliss,amazon
"I have worked for china mobile Pakistan a Telecommunication operator as Network Security Engineer, Worked on PaloAlto Firewall administration and providing security to the company network. Currently, I am working with Amazon.",5,Warehouse Associate,careerbliss,amazon
"I worked through Integrity Staffing for 3 months to work for Amazon.com, I was supposed to get hired on permanently but that was taken away because I had a disability which I reported but the doctor's note was not acceptable.",3.9,Order Picker,careerbliss,amazon
"You can learn a lot very quickly in a short time. Surrounding yourself with nothing but incredibly smart and driven individuals. Exciting project across the company that keep you interested and focused. The work life balance is amazing!
The leadership principles are actually used to drive discussions and results. 10/10",5,Anonymous Employee,careerbliss,amazon
I have been in Amazon for about an year now. It's a nice company for someone who loves to work hard like me. I have worked on multiple critical projects for the team. Overall its been a great experience.,4.4,Anonymous Employee,careerbliss,amazon
"I've worked for Amazon since July 2017. Throughout the years, the company has provided many growth opportunities allowing me to hone my skills as a manager as well as my analytical skills deep-diving into metrics and KPIs that directly contribute to the big picture.",3.4,Anonymous Employee,careerbliss,amazon
I worked for Amazona as a software development intern. My role provided me with an opportunity to work in a fast-paced environment. My project was to develop an application from scratch using a fairly new technology.,4.4,Software Development Engineer in Test Intern,careerbliss,amazon
It's the best company and a place to work. A very good platform for your personal growth and a good learning platofrm,5,Anonymous Employee,careerbliss,amazon
I’ve worked with Amazon launching sites and start ups since 2018. This is a overall stable company. Extremely fast paced.,3.8,Maintenance Manager,careerbliss,amazon
I loved working at Amazon and would have gladly stayed if possible,4.3,Imaging Associate,careerbliss,amazon
"Working for Amazon is a terrible experience and I would not recommend it to anyone who likes to think about what they are doing throughout their day. The work is both monotonous and endless in the most literal sense of both; there is no variation in any tasks performed in the day, and there is no possibility of finishing the work to any state of completion - it simply goes on until the end of the shift and even then is not concluded.",2.3,Anonymous Employee,careerbliss,amazon
Good company to work for but a very fast-paced environment. The only downside is that the busiest time of year is during the holidays so it impacts family time,4.5,Anonymous Employee,careerbliss,amazon
"Great pay, good hours but bad management",3.4,Anonymous Employee,careerbliss,amazon
Learn a ton but with lot of politics at senior level,3.5,Anonymous Employee,careerbliss,amazon
Amazon is a leader in multiple areas of business. Rapid growth creates many opportunities but also creates unstable continuity at the leadership level.,3.8,Operations Manager,careerbliss,amazon
I’ve worked with amazon logistics since 2014 and what I can say about this company is that they don’t care about there employees. I love the work and the environment but the management and the supervisors are terrible there.,4.5,Dispatcher,careerbliss,amazon
Great Deal and a life changer instead of a waste of time.,5,Seasonal Worker,careerbliss,amazon
"Nice company, challenging and interesting work here",4,Anonymous Employee,careerbliss,amazon
Great work going on in the Santa Cruz office with a great team that emphasizes work life balance while also ensuring that projects and features are released on a timely basis.,4.6,Software Development Engineer in Test Intern,careerbliss,amazon
"I did an internship at Amazon Seattle as a software engineer last summer. I felt like I experienced a whole practical workflow of doing an industrial project, from defining a problem, searching for some possible solutions, design reviewing, implementation, code reviewing and delivering results. I thrived in an open, innovative, technology-driven culture. This internship was a valuable experience for me.",4.6,Software Development Engineer in Test Intern,careerbliss,amazon
"Working with Amazon is challenging but rewarding based on what I've learned and was able to contribute to. The pay is good and the people are good, although it can change a bit depending on what department you're working with. Overall I recommend it.",4.8,Anonymous Employee,careerbliss,amazon
I really enjoyed my last role at Amazon. I was fortunate to be able to build my own group and we worked collectively and autonomously without and Amazon product oversight. We were only really accountable to our client the NHS. We had a startup mentality and worked as a team and built a nice work-family along the way...,4.5,Anonymous Employee,careerbliss,amazon
Really liked the culture of this company. They make you feel important and you have plenty of options to learn new things or try new ideas.,5,Anonymous Employee,careerbliss,amazon
it will be great if there is individual coaching,3.4,Transportation Specialist,careerbliss,amazon
"I have worked with Amazon for a few months now in the Logistics department, but I find that I miss working with a team of creative thinkers and coming up with exciting new ways to engage customers and run campaigns from start to finish.",2.5,Anonymous Employee,careerbliss,amazon
It is a challenging place to work. You gotta learn and grow very fast.,4.1,Anonymous Employee,careerbliss,amazon
"I worked for Amazon for 6 months in 2019.

Pros:
- There is a lot of opportunity to take on large projects and see them through to completion independently. 
- Many great engineers and minds to work with and learn from.
- Pay is definitely above average.

Cons:
- There is a disproportionate number of back end engineers vs front end engineers on each team, therefore your work load can become overloaded quickly.
- Work oftentimes follows you home
- Overall experience is dictated by the team that you are hired on
- Many inefficiencies",3.1,Anonymous Employee,careerbliss,amazon
Great place to work. They offer good benefits and also accommodated me while in school.,4.8,Order Picker,careerbliss,amazon
High end quality  goods and good customer service .order anything online and get delivered to you in hours,5,Driver,careerbliss,amazon
"I have worked for Amazon for 4 years, it is a great company with the smartest people. It does have areas of imperfection, the whole of the team takes ownership of those areas. I have learned much about Amazon.",4.9,Anonymous Employee,careerbliss,amazon
"I've worked for Amazon for over a year now. Overall, it's a good company to work with fair compensation and work-life balance.",3.8,Anonymous Employee,careerbliss,amazon
Not enough information is given in training. Good job of working at home.  It can be high-stress.,3.8,Anonymous Employee,careerbliss,amazon
I've worked for Amazon since 2016 and have had the opportunity to work in various locations in the US. It can be a challenging place to work but everyday is something new and things are always changing. It is a fast paced environment with lots of opportunity of growth and promotions.,3.8,Anonymous Employee,careerbliss,amazon
"I like amazon as a company, and the pay is nice.",5,Anonymous Employee,careerbliss,amazon
"While Amazon may pay good, it is not necessarily a fun job. If you just want a job to make decent money starting out then this job will work out for you. If you do work for amazon, make sure you are working on the management level which comes with more benefits and perks.",3.3,Anonymous Employee,careerbliss,amazon
"I was hired to work with Amazon, in a very dynamic environment place, a prestigious and valuable company that offers people well-being and great opportunities. They ensure employees' safety. I am enjoying this experience.",4.4,Anonymous Employee,careerbliss,amazon
Working at Amazon Logistics in Operations management,4,Anonymous Employee,careerbliss,amazon
"Great company to work for, that offers good benefits, and a great pay.",5,Picker,careerbliss,amazon
At this time I do not wish to comment even in general. This is made for strong-minded people only.,3.3,Anonymous Employee,careerbliss,amazon
"I worked for Amazon numerous times, once in the Logistic Center and most recently, the Fulfillment Center. The job is easy and fast pace, however, the only issue I had with the fulfillment center was the flexibility and the lunch breaks. Due to the warehouse being so large, it took half the time to get to your lunch break area from just walking there. So not only were most people not getting adequate rest, it's basically a 30-minute break for the entire 10-hour shift. 

If you are used to standing long hours, it's a great job and easy to do. However, if you are someone who has dreams outside of working 9-5, this will only be a short term investment for you.",4,Anonymous Employee,careerbliss,amazon
............................,5,Anonymous Employee,careerbliss,amazon
It's a new company in michigan and big growing company,5,Fulfillment Associate,careerbliss,amazon
"Amazon is a great place to work as an IT Support Technician. I supported a userbase of 500+ associates across 5 warehouses as part of a 9 member team. One of the better things is that I was fairly self-directing in my career and Amazon was well funded in the IT department, so that means that we were able to enjoy the latest tech.",4.1,Anonymous Employee,careerbliss,amazon
"Amazon Prime Now/Fresh is a good company to work for if you’re looking for flexible, part- time work. The management is great and willing to provide help and listen to problems. They are constantly trying to improve and take employee considerations.",4.4,Anonymous Employee,careerbliss,amazon
"I've worked for Amazon as a Customer Service Representative for 3 years now. I absolutely love it. The continuous opportunities for growth within the company is amazing. I also appreciate having such a wonderful insurance plan through the company. All around, it's been a great experience!",5,Customer Service Specialist,careerbliss,amazon
I have work for Amazon for about a year now. The company itself is a good company and cares for their employees but with how many people this company has it is hard for them to care for every single employee.,2.8,Warehouse Associate,careerbliss,amazon
I have worked at Amazon for almost 2 years. The company is great. There are many invasions happening everyday. The only downside is worklife balance.,4.5,Compliance Engineer,careerbliss,amazon
Best job ever. I liked it very much and met good people,5,Anonymous Employee,careerbliss,amazon
I worked in Amazon for 3 years.  The work was challenging and the opportunity to grow was excellent.  The place is designed for people who don't disconnect... ever.  It was always a problem but I'm happy to have given my time to the business.,3,Anonymous Employee,careerbliss,amazon
It is a great company to work in and work for.,4.9,HR Specialist,careerbliss,amazon
I’ve worked for Amazon for about 5 years and learned so much. I think it is time to take what I have learned and move on to better things to come my way. This is an amazing employer but I know for myself my plans for relocating and moving up in the station I am in are difficult and I have to continue to grow and achieve more goals. What I take from amazon is I am a strong manager and have dealt with everything between difficult associates to 3rd party contracts,3,Anonymous Employee,careerbliss,amazon
"It is a great place to work, and the experience possibilities are enormous",4,Anonymous Employee,careerbliss,amazon
Amazon is a good company.,5,Software Development Engineer in Test Intern,careerbliss,amazon
I’ve worked here for almost two years and I was wrongfully terminated because of my refusal of completing an assignment that was Impossible and unethical to my work standards,3.1,Anonymous Employee,careerbliss,amazon
It’s a great company for benefit and someone willing to work extra hours but they make you work like a robot and the pay isn’t fair.... the break time isn’t fair..... they can improve that and their goal makes people work fast which will cause mistakes and injury to employee body.,3.3,Anonymous Employee,careerbliss,amazon
Great Place and People!!!,5,Anonymous Employee,careerbliss,amazon
Great visiting this company website.,4.8,Remote Associate,careerbliss,amazon
"It's a mindless job, and it's not what I want for me and my family. I want a challenge.",2.9,Anonymous Employee,careerbliss,amazon
"I've worked at Amazon for 2.5 years, and have found it to be delightful company.  I am a independent contractor for Amazon.  If you are looking for supplemental income then you have come to right place.  Always deliver packages in a timely manner.",4.1,Independent Contractor,careerbliss,amazon
"I’ve worked for Amazon since August. It’s a great company, but the work environment and compensation are not ideal for the long hours and type of work that is done.",2.4,Area Manager,careerbliss,amazon
"I've worked for Amazon since August 25, 2019. While the first level managers are kind and friendly, the work is hindered by broken/defected devices that are required to get the tasks done. The compensation does not equate to the work that is required. Upper management is difficult to connect with and/or contact.",3.6,Anonymous Employee,careerbliss,amazon
I worked at Amazon for close to 2 years I loved it customer service was kind of intense but would recommend for friends,4.3,Anonymous Employee,careerbliss,amazon
I love to work! And I would love to be apart of y’all team.,5,Picker,careerbliss,amazon
Good company to work for.,3.5,Anonymous Employee,careerbliss,amazon
"Great company with great benefits. For the hours and work/life balance, the pay could be better.",4.5,Anonymous Employee,careerbliss,amazon
"I’ve worked for Amazon for a while. I truly enjoy the company and the multitude of opportunities to grow and develop. At Amazon, you own your development which means the company will take you as far as you would like to go. Over the years, I have been able to travel and be apart of Amazons history. Things are constantly changing at the company which is  very awesome!",3.6,Manager,careerbliss,amazon
It was a fun place to work!!,4.3,Anonymous Employee,careerbliss,amazon
"i,hgthjkl..kjhgfdsliytfhgjiuytfgdgvhhiuuytdf",2.9,Anonymous Employee,careerbliss,amazon
"I had an internship over the summer at the FC in Tracy, CA. It was a great experience. You will be motivated by those surrounding you and always work hard. I was able to manage a work-life schedule.",4.6,Area Manager Intern,careerbliss,amazon
I’ve worked on Amazon since April 2019 and it has been great!,4.5,Customer Service Representative,careerbliss,amazon
Very great pay but very long hours,4.6,Anonymous Employee,careerbliss,amazon
I have worked for Amazon since August 2019.,4.8,Anonymous Employee,careerbliss,amazon
I’ve worked with amazon since September of 2018. It was a really good company especially the benefits were the best! Amazon help me with my people skills and it also help me to use what I know now somewhere else to further my future. The company has around 6 amazons across Colorado.,4.3,Ambassador,careerbliss,amazon
It was a good experience that tested my ability to adapt to a new situation. They train you and try to help. They are very task oriented and focused on the nightly deadline.,4.3,Load Planner,careerbliss,amazon
"I would like to skip this for now but I would like to add that it’s not the employer that makes a difference on your every day life but it’s the team and job situations that are a critical game changer.

Thank you ??
Monica Nagar",4.1,Senior Sourcing Recruiter,careerbliss,amazon
"Good work place, great pay and over time is available.",5,Anonymous Employee,careerbliss,amazon
Amazon is a company that creates many opportunities for growth and development in a variety of areas .,3.8,Area Manager,careerbliss,amazon
"I've worked in Amazon for almost two years as a network Development engineers with different teams such has Agg deployment , Encryption and backbone",5,Anonymous Employee,careerbliss,amazon
I have worked for Amazon for about 6 months. The warehouse employs hundreds of people per shift. Its very straightforward what to do for your role at the warehouse. All that is required to be employed is a drug test and background check.,5,Warehouse Team Member,careerbliss,amazon
Not professional. Management is scattered. Unorganized,3.6,Anonymous Employee,careerbliss,amazon
A great company for self motivated individuals.,5,Investigation Specialist,careerbliss,amazon
Unable to share ant review at this time due to morale,1.1,HR Business Partner,careerbliss,amazon
It was a very easy and liberating application because it allowed the person applying to really be an open book about who they are.,5,Customer Service Representative,careerbliss,amazon
The company is a fast-paced environment,5,Associate,careerbliss,amazon
Great company. One of the best places to learn new things. You never stop learning. Great opportunities.. Huge room for development,5,IT Support Engineer II,careerbliss,amazon
Amazon is an amazing company to work for. The possibilities are endless for advancement. They have numerous programs in place to help you achieve your dreams. They are very ethical and family friendly. They always have positions for whatever your availability and skill level. I would recommend Amazon to anyone looking to become more or wanting to learn a new skill set.,4.6,HR Representative,careerbliss,amazon
I've worked for amazon since 2013. They are safety driven when it suits the business.,5,Maintenance Manager,careerbliss,amazon
I love working here. Great pay and benefits,4.4,Anonymous Employee,careerbliss,amazon
"I worked for Amazon for a few months while in school. Unfortunately, they do not accommodate school schedules or second jobs.",2.1,Anonymous Employee,careerbliss,amazon
"Working for an Amazon Fulfillment Center, most positions are like a fun game, especially if you like to workout! They are a Huge company to be a part of, where you get to help bring joy to customers All Over the World! As an amazonian you are part of a huge family of people making a difference. They are compassionate and have millions of resources to help their employees. They always have incentives and fun activities during breaks to keep everything interesting and interactive. Overall, Amazon is one of the best companies I’ve worked for and learned from.",4.8,Anonymous Employee,careerbliss,amazon
Amazon is a good place to start your career and possibly move up to management positions. Your coworkers are great to work with and able to assist anytime. Management is sometimes easy-going but other times it seems like they take extra space watching over employees work extra hard. Overall its a solid place to work but eventually you become fatigued of the same tasks and desire a lifestyle change.,3.5,Anonymous Employee,careerbliss,amazon
It provided a great challenge that I was glad to take on.,4.5,Anonymous Employee,careerbliss,amazon
"open upward mobility, passionate people, it is a good company to work with",4.8,Program Developer,careerbliss,amazon
Amazon is a great place to work / to learn.,5,Technical Support Engineer,careerbliss,amazon
The company is very innovative and allows you to be creative.,4.1,Regional Loss Prevention Manager,careerbliss,amazon
I did not feel my managers did a good enough job in communicating with me and did not give me the right motivation. I also did not feel the company cares for your well being; when you are unable to work it seems as if they do not care and they want you to suffer through and work whether or not you’re injured or ill.,3.1,Anonymous Employee,careerbliss,amazon
good introductory job into the robotics and amazon world.,4,Robotics Technician,careerbliss,amazon
Very good and flexible job,4.8,Anonymous Employee,careerbliss,amazon
I’ve worked for Amazon for over five months now and I love it. The people here are willing to help you when you need it and the job is not complicated. Amazon has companies all over the United States and has various positions.,5,Anonymous Employee,careerbliss,amazon
"Excellent company
Great pay and benefits
Endless opportunities for future advancement.",4.8,Anonymous Employee,careerbliss,amazon
"I have been a warehouse associate for a little over one year now. In my time here at Amazon, I have been given the opportunity to be a learning ambassador. This role is so important because I am the first face new hires see and have the chance to ask questions to. Amazon has a wonderful benefits package and great working hours.",4.3,Warehouse Associate,careerbliss,amazon
I work for Amazon logistics for almost 8 years. It’s a very good company with 3000 employees. I believe that scientific innovation is essential to being the most customer-centric company in the world. It’s this ability to have an impact at a scale that allows us to attract some of the brightest minds in artificial intelligence and related fields.,5,Recruiter,careerbliss,amazon
I’ve worked for Amazon for about a year; just realizing it’s not really in my personality and the hours got a bit restraining for me.,4,Anonymous Employee,careerbliss,amazon
Amazin teamwork found in all departments. I learn a lot from my Amazonian experience.,5,Anonymous Employee,careerbliss,amazon
Great company but the senior leadership teams some buildings are unaware of their managers. They say they care for our growth but really they care in self interest.,3,Anonymous Employee,careerbliss,amazon
