text,satisfaction,job_level,date,platform,source
benefits are the best part about working at amazon. 20 wks paid maternity leave I think is pretty great but not aware of other similar companies policy,Neither satisfied nor unsatisfied,Mid-Level,2022-12-13T10:01:58.446358-05:00,inhersight,amazon
"They’re incredibly biased when promoting people to Process Assistants or Managers. Not once I see them promote a man unless he was gay, a veteran, or not white. There were a number of instances where employees with inconsistent attendance/ overall terrible attendance, lack of professionalism, and insufficient knowledge of how to run things were promoted solely because they were women, LGBTQ, not white, or were favorited by the higher ups.
Based what I saw and heard in my time there, I believe Amazon, or at least the facility I worked at, discriminated against men.
The managers definitely had favorites and they turned a blind eye to the constant carelessness and slacking off of those employees.
Amazon is not as “equal opportunity” and “non discriminatory” as they want people to believe.
Aside from that, it pays well but the work is exhausting and you’ll get fired if you use up all your PTO, even for emergencies. It’s not forgiving towards to attendance of most employees, unless they’re getting favoritism from the managers.",Neither satisfied nor unsatisfied,Early Career,2022-12-11T21:06:47.872461-05:00,inhersight,amazon
n/a,Very unsatisfied,Early Career,2022-11-30T17:02:12.020083-05:00,inhersight,amazon
They are not supportive of single moms.,Unsatisfied,Early Career,2022-11-13T17:18:13.451250-05:00,inhersight,amazon
"AWS is a good place to work if you are not the primary caretaker of children or other family members. Opportunities are generally available after you've shown you can deliver results. However, some of the best promotion opportunities are often given to those employees who senior leadership favor or who are the beneficiaries of proximity bias. The time-off is good, but you will find that it is hard to disconnect given that AWS moves at a very rapid pace. When working with senior leaders, you won't have control over your calendar and teams are leaning staffed, so you may have to work during your time off.  The pay is mostly stock, so you will see the up-side when the market is doing well, but suffer when it is down. 

As with every large company, your experience will vary depending on your manager. But as a woman, my experience was that I was discouraged from managing a large team across time zones because ""I may want to start a family soon."" Some of my colleagues were mothers who were often rated lower than male or child-less colleagues during reviews because of the perception that the mothers weren't working as hard. 

If you can look past the negatives or get lucky enough to work for a good manager. You will find the work is extremely challenging and rewarding. You will work with very smart people. And you will get to contribute to projects that are not being thought of at other companies.",Unsatisfied,Senior-Level,2022-11-09T18:01:59.892060-05:00,inhersight,amazon
"HR is a non responsive even when escalated to senior management and it is nearly impossible to get anyone that can actually help you through their ERC department because their CSR's have very limited access and can not email direct managers.
 Amazon LP/Security likes to create ""investigations"" on staff for the most ridiculous of reasons, walk staff to their cars but never do any investigation then wait for PTO and UPT balances to runout so the system will automatically terminate you and mail you a letter that says you ""abandoned"" your position making the whole process feel as if the individual was a target of layoffs disguised as some sort of disciplinary or safety issue.",Unsatisfied,Senior-Level,2022-10-31T14:14:57.575047-04:00,inhersight,amazon
Working here with a toddler while also pregnant has been the hardest thing. It’s like pulling teeth to get the proper information for accommodations.,Very unsatisfied,Early Career,2022-08-25T03:07:39.743758-04:00,inhersight,amazon
I was injured on the job and how I was treated behind my injury I feel was not good.,Neither satisfied nor unsatisfied,Early Career,2022-08-03T18:59:40.020077-04:00,inhersight,amazon
"It was honestly okay until the scheduling became ridiculous. The longest shifts I could get were maybe 5 hours. Not enough shifts gets posted, the do not pay you what you’re worth and it is literally just a bunch of loopholes to get any kind of leave.",Very unsatisfied,Early Career,2022-08-02T12:09:02.173547-04:00,inhersight,amazon
"In my experience, the company saw you as a way to continue to stay afloat, not as a person, and they didn't care I you stayed or left.",Unsatisfied,Early Career,2022-07-25T13:10:17.112114-04:00,inhersight,amazon
"Amazon promotes the company as the greatest place to work, but the public propaganda is just that. It's difficult to navigate HR. Everything is on their A to Z app, and they don't encourage human contact. People who work hard and show initiative are overlooked and safety is not a priority, despite the fact they say it is.",Very unsatisfied,Early Career,2022-07-21T23:08:43.854509-04:00,inhersight,amazon
An amazing place to grow and be truly respected for what we bring to the table.,Satisfied,Mid-Level,2022-07-20T12:49:30.249297-04:00,inhersight,amazon
"Amazon pays well, and they'll take your soul in exchange. They give talking points to their employees in how to properly describe what it's like working at Amazon. It is all about production, like a meat grinder. If you aren't promoting, you get shown the door. The phrase is, ""Move up or move out."" I'm looking for a different job where I will enjoy the culture, not just a paycheck.",Unsatisfied,Mid-Level,2022-07-20T11:55:18.207228-04:00,inhersight,amazon
Amazon has given me excellent work life balance.,Very satisfied,Senior-Level,2022-07-20T11:29:26.177190-04:00,inhersight,amazon
"The Leader Principles make all the difference and you can too. It is not just lip service at Amazon. The people I work with strive hard to improve themselves, each other, and the company at large. I've found the support for ones growth and alternate perspectives truly a joy. If you see a change for the better you are encouraged to make it happen.",Satisfied,Senior-Level,2022-07-01T10:09:47.383514-04:00,inhersight,amazon
90%+ of employee population in engeering team in Dublin is male. Problem with such a low intake of new female employees,Neither satisfied nor unsatisfied,Senior-Level,2022-06-30T07:25:54.949847-04:00,inhersight,amazon
Brutal environment that cares more about metrics than people,Unsatisfied,Mid-Level,2022-06-24T18:39:32.904865-04:00,inhersight,amazon
"Absolutely love working at Amazon and I feel I am included in every conversation and applicable decision regardless of my age, gender, race, etc.",Very satisfied,Mid-Level,2022-06-07T16:09:49.142759-04:00,inhersight,amazon
"This job is mentally and physically depressing if you stay  at Amazon be prepared to absolutely hate your life and your job horrible managers horrible hr horrible hours constantly under staffed because they treat employees like crap and they quit there’s a reason there turn over rate is 155%
Your only a number and as soon as you stop producing high numbers they will treat you like crap if you don’t kiss your managers @ss and treat them like god good luck moving up  I wouldn’t recommend this job to my worst enemy",Very unsatisfied,Early Career,2022-04-24T23:54:59.190922-04:00,inhersight,amazon
They didn’t treat most of the workers like actually human beings. It felt more like we were robots constantly being scrutinized on how fast we were working.,Unsatisfied,Early Career,2021-11-26T01:01:41.565916-05:00,inhersight,amazon
"Work is extremely fast paced. Only few training days before officially start working on the job. Personally I was taught in 2 hours top to use a a cherry picker. And heavy duty machine that puts you up to 30 feet in the air to pick customer orders including boxes heavy as 50 pounds. Thru it all I tried to do my best and exceeded my own expectations learning to drive other heavy duty machines but I never had a chance as a woman to be anything but an associate. The work kept on increasing as I learned more but didn't mean better pay or a chance of improvement. The toxic environment around is so horrible, and men were simply disrespectful to the point that talking to HR made no difference.",Unsatisfied,Early Career,2021-09-30T13:01:09.084138-04:00,inhersight,amazon
I had two female managers who both provided excellent leadership to our team. They both created a supportive and collaborative environment.,Very satisfied,Early Career,2021-01-22T12:47:28.855750-05:00,inhersight,amazon
They want you to be aware of mental/physical health but dont give you enough PTO. Don't accept doctors notes if your sick,Unsatisfied,Early Career,2021-01-20T23:33:16.500376-05:00,inhersight,amazon
"Amazon has many great attributes and flexibility, but foe a company this big to not give yearly raises, or to offer a raise to it's Ambassadors is very stressful. I work hard to be the best employee I can and this employer should treat all their employees the same. 90 day raise, then yearly raises to help meet the needs of the cost of living and fuel prices rising.",Neither satisfied nor unsatisfied,Early Career,2021-01-14T23:45:27.111731-05:00,inhersight,amazon
Great for part time work but shouldnt make a career out of it since they dont have much interest in advancing their own employees,Neither satisfied nor unsatisfied,Early Career,2020-12-13T05:51:10.453843-05:00,inhersight,amazon
"I work for amazon, I love the people. There definitely are things I dislike. For example: if you got a sore part of your body where you think something is wrong and you tell someone but the pain goes away, you are still required to spend money in order to get a doctor's note.",Satisfied,Early Career,2020-11-08T10:13:13.599253-05:00,inhersight,amazon
I have been very impressed with the amount and diversity of opportunities for growth at Amazon. My manager actively seeks my opinion and values my growth and input. They have clearly stated that if my goals change and end up no longer aligning with the current team that they will help me to find a better fit within the organization. I've never felt so supported!,Very satisfied,Mid-Level,2020-10-09T18:55:21.390133-04:00,inhersight,amazon
Satisfactory,Neither satisfied nor unsatisfied,Early Career,2020-09-14T17:53:22.617468-04:00,inhersight,amazon
I absolutely loved working at Amazon. Such a warming place to work and very fun. Only down fall was their odd 4hr shifts and had to wait about 2 hrs for the next shift pickup of 4 hrs and I loved an HR away so that was my only struggle.,Very satisfied,,2020-08-21T02:01:23.037663-04:00,inhersight,amazon
Management is more concerned about numbers/ production than safety and sense of leadership to their associates.,Unsatisfied,Early Career,2020-08-19T10:35:48.784460-04:00,inhersight,amazon
"Overall, I enjoyed my job and coworkers. However, development teams we worked with were almost entirely men. They would not respond to my emails or even talk to me when I was talking to them (they would answer me by addressing the closest man to me or just not at all.) I had to have my male coworkers send emails for me if I wanted something done.

Additionally, I was hired on the same day, for the same position with three other men. I was told by management that my pay was non-negotiable and was a base pay everyone on my level received. About two years in one of these men let slip how much he was being paid ($2 per hour more). He negotiated his pay. I have a college degree (he didn't), and about 4 more years work experience. Eventually I found out other female employees were told the same thing and had pay similar to mine.

I had a lot of fun at my job, but I also ran into a lot of rampant, blatant sexism that changed my view of the company.",Neither satisfied nor unsatisfied,Early Career,2020-08-14T14:45:01.816482-04:00,inhersight,amazon
"Terrible experience... 1st day was horrible. Got there for training, spent about 2 hours sitting in the break room listening to someone who doesn’t know what he’s saying. Then we went right to work. No training. Just showed us how many boxes they wanted done an hour. Then took lunch and they told us to meet in break room. 2 hours later they come back with a trainer. It was a joke and it’s a joke of a company to work for. Thought I’d try it out. Won’t ever order from amazon again either. They don’t care about their customers. They care about speed and not how your stuff is handled or anything. Let alone half the people in there don’t wear masks and they don’t take your temp when you come in.",Anonymous,,2020-08-12T01:01:10.395578-04:00,inhersight,amazon
