text,satisfaction,job_level,date,platform,source
I love the warehouse I work for with Amazon however not being able to move to full time without moving to a completely different warehouse is frustrating.,Unsatisfied,Early Career,2018-01-11T19:57:01.845197-05:00,inhersight,amazon
"ONT5 is totally a chaotic warehouse with an absence of good leadership. Any opportunity they get to screw over associates they take it. Constantly changing in and out of managers with zero experience and once they've got the hang of things are transferred out. The Site lead manager is changed every year, guaranteed, which means that every operation in the warehouse will be changed to suit the new site managers ""vision"" rather than finding something efficient. This warehouse goes out of its way to make sure nothing runs with any ounce of efficiency and if something new is found to work best, they change it instantly. Operations change weekly. Not to mention the utter lack of care that anyone has for the products they ship out, boxes are tossed every which way and piled up so much that everything falls on the floor. Complete disregard for safety in pallet building but it is expected of associates to move so fast that they have no time to properly build the pallets of boxes. That's just the tip of the ice berg in disregard of safety procedures here. Next your schedule is under constant change. You think you have a set schedule like any other Amazon warehouse? Think again. Expect your schedule to change with barely 2 weeks notice just so it suits new operations. Not to mention they will completely eliminate your shift and force you into a completely new one if you want to keep working there. Honestly if you want to hate yourself and your life work at this warehouse. Employee beware.",Very unsatisfied,Early Career,2018-01-11T15:40:12.882453-05:00,inhersight,amazon
"“Management by insinuation.” Employees are expected to learn their roles largely independently. Little value is placed on institutional knowledge; employees are expected to move to a new role every 1-2 years, and staying in one role beyond 3 years is nearly unheard of.",Neither satisfied nor unsatisfied,Mid-Level,2018-01-10T22:43:53.594529-05:00,inhersight,amazon
Almost destroyed my body completely.,Very unsatisfied,Early Career,2018-01-07T20:10:25.072428-05:00,inhersight,amazon
"Amazon is what you make it for yourself. No one will hold your hand. Some people thrive, some people hate it. Those that thrive are generally Type-A and outgoing.",Satisfied,Early Career,2018-01-04T14:12:11.047743-05:00,inhersight,amazon
The systematic sexism at Amazon is very real and the mistreatment of employees by every level of management runs rampant. Most people are miserable.,Very unsatisfied,Mid-Level,2018-01-04T08:26:19.211304-05:00,inhersight,amazon
"It's a very unique, diverse and exciting place to work. But it would be nice to be paid the living wage. Amazon is a great company so why not represent what other companies should follow suit to?",Very satisfied,Mid-Level,2018-01-02T14:45:44.645754-05:00,inhersight,amazon
"The trouble with the company us that their policy states and provides resources to prevent any kind of discrimination.  However, they frequently hire people for their senior management that do not work to promote or develop their female associates and often relegate tasks based on gender (men on ship dock,  women can pick). There are also few efforts made to have any kind of social event for men or women and do not show signs to change that.",Neither satisfied nor unsatisfied,Early Career,2018-01-01T16:44:21.556761-05:00,inhersight,amazon
"I think your experience will really vary from team to team. I've been on teams where I've learned and grew quickly but did not feel like I was a part of the team. I've also been on teams where coworkers are amazing but management just sucked and we were forced to do a lot of non-software groundwork. One thing that's constant is there is always a lot of work. Another is we live and breathe the leadership principals, which is good for business, customers, and professional growth. At the same time it can be bad because it obviously lacks any interest and care on the personal experience and work/life balance. It felt hard to pursue promotions as a woman unless you had supportive managers and teammates, which in the end is rare because many managers will only look out for themselves. Salary increases are not worth mentioning and bonuses do not exist, seemingly no perks, sucky 401k, healthcare, and stock vesting schedule. Flexible enough for remote work where needed.",Neither satisfied nor unsatisfied,Early Career,2017-12-30T23:49:20.692214-05:00,inhersight,amazon
Most of the management for my department is comprised of women.,Satisfied,Early Career,2017-12-01T16:14:03.130350-05:00,inhersight,amazon
"Varies by department. Find a female vp (or be one) and work in her chain if you can. Devices group sounded awful (kindle etc). Year 1-2 worth it, after that leave or be ready to negotiate strongly for ""bonuses"" to meet your salary needs.",Neither satisfied nor unsatisfied,Mid-Level,2017-11-10T10:34:38.824283-05:00,inhersight,amazon
"The environment and culture at Amazon is very fast-paced and exciting and fun! The training is a riddle fast but you get the hang of it pretty quickly. This would be a great job for someone to do for a little extra money or experience, but as a single mom the unusual hours and extremely low pay are now forcing me to look elsewhere. I love working from home but even without a commute I can't afford $10 an hour. Otherwise it's a great place to work.",Neither satisfied nor unsatisfied,Early Career,2017-11-09T23:05:08.967792-05:00,inhersight,amazon
"There’s corporate Amazon and then there’s the fulfillment centers that do all of the work. Unfortunately, our benefits and perks don’t compare to Seattle. The attendance policies in the warehouses are so strict that people end up with no choice but to be fired. Amazon at the FC level turns over people at alarming rates. It’s not a good place for women because the leave process is so broken that a woman can easily be fired if her leave case hasn’t been updated on time; and there is very little support from HR and the ERC. The work in the FC can also be physically taxing on pregnant women. It would be really hard for women building their family to maintain employment at Amazon. It’s honestly sad how the conditions are.",Unsatisfied,Early Career,2017-11-05T13:05:44.444922-05:00,inhersight,amazon
"Be aware that some divisions are less female friendly than others and it's not just those that are heavily staffed with tech roles. Leadership principles drive the culture here and yet none have any bearing on human respect and self awareness--both critical qualities in developing an inclusive culture. Until this is rectified, the mentoring and development for women will only be window dressing and the real opportunities will still be for the old boys and dev dudes.",Unsatisfied,Senior-Level,2017-11-02T20:48:22.001012-04:00,inhersight,amazon
"Its a horrible work environment. They push you til your sweating blood and then they ask you what your problem is. I hated my experience there. It wasn't just the work tho. It was also the ppl. The training sucked. They didnt give you enough time to adjust to the ""normal"" rate, and management there was rude and just all around awful.",Very unsatisfied,Early Career,2017-10-24T23:05:42.786877-04:00,inhersight,amazon
"It's like working at match.com 
Not the best place for a woman single or in a relationship unless you enjoy adultery and fornication.",Unsatisfied,Early Career,2017-10-24T00:26:00.699090-04:00,inhersight,amazon
"I have truly never worked for a more friendly, equal, and overall fair company. As a woman, I have never seen more advancement opportunities available.",Very satisfied,Mid-Level,2017-10-14T20:21:49.866989-04:00,inhersight,amazon
Was hard to get in contact with someone when you need a day off. Goes by a point system which is not really fair.,Unsatisfied,Early Career,2017-10-13T14:22:06.005387-04:00,inhersight,amazon
Overall company views are positive. Individual teams show descrimination and prejudices against women.,Unsatisfied,Mid-Level,2017-10-12T11:01:04.919990-04:00,inhersight,amazon
"I was lucky to have an amazing female boss and mentor.  Amazon was a boys club.  While there were a few women in leadership roles, it was difficult to get there and difficult to demand the respect required at that level.  My boss would have special training sessions with me and another female employee to help us learn how to best speak to the room of men.",Unsatisfied,Mid-Level,2017-10-10T14:24:49.962697-04:00,inhersight,amazon
"Working in an Amazon Fulfillment center I never imagined a warehouse setting could be so diverse. It's practically a 50/50 split in men and women and influsive of race and ethnicity, gender (including those with gender variances) and sexuality. This includes management and operations as well. It is a wonderful place to work even at the lowest level.",Very satisfied,Early Career,2017-10-09T09:07:12.872170-04:00,inhersight,amazon
"Some teams are great, so it really depends on the leadership - others are so-so, but it's certainly possible to find other women in tech leadership roles.",Neither satisfied nor unsatisfied,Senior-Level,2017-10-03T17:36:40.396895-04:00,inhersight,amazon
"To my knowledge, at least the last eight Area Manager roles were filled by men.",Unsatisfied,Early Career,2017-09-29T03:25:42.659732-04:00,inhersight,amazon
Men do not treat women engineers equally here. They treat us like we are incompetent.,Unsatisfied,Mid-Level,2017-09-26T00:22:41.176301-04:00,inhersight,amazon
The sexual harassment at amazon is out of hand. Very rarely do they actually do anything about it. They just send you to HR and have you fill out a complaint form and nothing gets resolved. I've been groped on the weekly for 2 years by the same people. Nothing had been done about it.,Unsatisfied,Early Career,2017-09-21T02:18:37.556362-04:00,inhersight,amazon
Extremely female friendly for a warehouse position! Beautiful nursing room! Free feminine products in the bathroom. Access to free midol and such for cramping. More women in management positions. Comfortable atmosphere. Great benefits!,Very satisfied,Early Career,2017-09-20T10:01:33.732117-04:00,inhersight,amazon
"You are a ""Industrial Athlete"". Everyday is ""Day 1"" so always try to learn something new, even if people try to stop you. Don't be too good at your job, otherwise you will not be able to train for other roles. Always set goals and push yourself everyday. Do what it takes if you want to succeed!!!",Satisfied,,2017-09-08T12:12:00.746067-04:00,inhersight,amazon
For such a large company you would think that they would know how to not treat women differently.,Very unsatisfied,Mid-Level,2017-09-05T21:28:18.656921-04:00,inhersight,amazon
"They seem to be gender blind. It's all based on performance. If you do well, you move up. If you don't do well, you don't move up. Simple as that. ",Very satisfied,Early Career,2017-09-03T18:02:13.424464-04:00,inhersight,amazon
"As an Area Manager at Amazon, expect to work at lot of hours including overtime. It is a salaried position, so you will not be compensated for additional hours. Working at a fulfillment center makes it nearly impossible to have work-life balance, especially if you are working night shift. Lastly, taking vacation days requires another manager to cover your shift. This creates a culture of feeling guilty for taking time off, and feeling resentful to others when they take time off. ",Very unsatisfied,,2017-08-31T11:12:14.196048-04:00,inhersight,amazon
"Those who work for the corporate world of Amazon may have different experiences, but I have found that communication in Amazon Fulfillment centers is very poor and transparency is nonexistent. Schedule accommodations for daycare are very limited and only apply when we are working 55 hour weeks. The ""incentive"" pay they offer is always set to be just above what they expect us to do (even though we are the highest performing building in the network) so that we never get the full payout-and so that the building saves money. I would not recommend this place to women or anyone else. ",Very unsatisfied,Early Career,2017-08-18T19:39:19.566184-04:00,inhersight,amazon
"Biased hiring, refusing accommodations, sexist management. Was told I needed to work out my personal issues, (father dying and in the hospital) and reapply when we had better headcount. When I came back from bereavement (18 days after leaving the role) they had hired 5 male external managers. They will max you out of pay and the only way to get a raise is to move up in the company. ",Unsatisfied,Mid-Level,2017-08-17T18:19:10.282295-04:00,inhersight,amazon
"Amazon offers great pay and benefits. They have wonderful parental leave services as well as on-site lactation rooms. The atmosphere of the particular building I work for in the company is just ok, upper management has a serious lack of organization.",Satisfied,Mid-Level,2017-08-17T02:12:44.874762-04:00,inhersight,amazon
"In my department, the environment is very female friendly and there are a lot of women in upper management roles. ",Satisfied,Mid-Level,2017-08-14T00:18:20.647995-04:00,inhersight,amazon
"In my experience, Amazon provides a great equal opportunity work environment! There is no discrimination in any role that I have experienced.",Very satisfied,Early Career,2017-08-11T16:51:11.886228-04:00,inhersight,amazon
"Most of upper management consists of men, the FEW women that get promoted (and there are very few that I've seen in 5 years...) were young, pretty, unqualified, dressed inappropriately and did nothing but dote on the managers that hired them. Most of them didn't even apply for the positions (they weren't even posted for others to apply for), they were just handed the positions. It is very frustrating to be passed over when you have years of leadership experience for someone who has none because you aren't batting your eyelashes, but are still expected to run departments without the pay. It goes on constantly. ",Very unsatisfied,Early Career,2017-08-06T23:20:59.356194-04:00,inhersight,amazon
Insurance was good and started on day 1 ..work flucuates from overtime to pay off depending I n orders..,Satisfied,Early Career,2017-08-06T08:30:22.815698-04:00,inhersight,amazon
"I love my job and the people I work with.  Upper management sucks sometimes, but overall I love my immediate supervisors. ",Very satisfied,Early Career,2017-08-02T21:09:39.279106-04:00,inhersight,amazon
"Amazon works you like a dog. During Peak, the four weeks before Christmas, they tack on an extra day. You work five 11 hour shifts during each week of Peak. And if you don't show up? You burn through any unpaid or personal time you might have had. You can't take vacation during that time either. 

There are no sick days, just unpaid or personal time and it runs out fast. Even if you bring in a doctors note, they still burn your time unless you get approved for an unpaid leave of absence.

Definitely not family friendly. They don't care at all that you're missing most of the holiday festivities with your family to work mandatory overtime.

Also? Get hurt on the job and require Amazon to actually take care of your med bills? They WILL find a way to fire you. 

Worst company I've ever worked for and I've had some questionable jobs. ",Unsatisfied,Early Career,2017-07-17T01:41:01.627296-04:00,inhersight,amazon
"This job is very hard work for very little pay.  They only pay $13.50 an hour for daytime shifts and $14.00 for night shifts.  It is super hot in the warehouse and you work 10-hour shifts, sometimes 12-hours if they need you to.  There is also mandatory overtime if they are not meeting their production goals.  So you can make good money if you don't mind the strain on your body and working 50 hours a week.  My body hurt so bad that I couldn't even sleep when I would get home and my feet would swell up for days.  This job might be okay for someone in their 20's who wants to keep up with it and get promoted because it did seem like they promoted people pretty quickly if they do a good job.",Very unsatisfied,Early Career,2017-07-09T00:46:23.396284-04:00,inhersight,amazon
Very equal opportunity in all aspects,Very satisfied,Early Career,2017-07-06T22:03:07.296475-04:00,inhersight,amazon
Interacting with people is such a great stress reliever! ,Unsatisfied,Early Career,2017-07-04T08:09:16.239280-04:00,inhersight,amazon
"Amazon's time off system is extremely flawed, and sets employees (especially parents with special needs children) up for failure. You only get set hours of unpaid time off, anything over that has to be earned by working overtime. Of you have no more time off, emergency or not, you are penalized. This is unfair to parents caring for disable or special needs children that may have to miss work to care for an I'll child. You are forced to risk losing your job regardless of performance if you have to miss work and don't have unpaid time to cover it. ",Unsatisfied,Early Career,2017-06-30T01:05:43.364080-04:00,inhersight,amazon
My direct manager admitted to me that he can't deal with women. He was telling a coworker and i to stop whining about things that are going wrong and need to be addressed by him. ,Unsatisfied,Mid-Level,2017-06-27T18:05:57.794318-04:00,inhersight,amazon
I loved working at Amazon. There were so many amenities and the people were great and supportive.,Very satisfied,Early Career,2017-06-25T09:56:26.871588-04:00,inhersight,amazon
It took an older male confidant to convince my three younger to middle-aged male managers to respect what I had to say when I repestedly expressed a bullying issue in my department. ,Unsatisfied,Early Career,2017-06-22T15:15:56.321226-04:00,inhersight,amazon
"Amazon is a quick paced work environment, once you have that mastered, promotion is achievable. A major challenge is the ability to move from one branch of the industry (production/ factory manager) to another branch of the company (subsidiary branch). Consistent networking connections can help in making transitions a little bit simpler, but it is a difficult process.",Neither satisfied nor unsatisfied,Mid-Level,2017-06-18T09:03:30.313665-04:00,inhersight,amazon
I've had a lot of jobs in my life and I can sincerely say that Amazon is the most employee-friendly company that I've worked with.,Satisfied,Early Career,2017-06-13T01:06:20.575530-04:00,inhersight,amazon
"Very unorganized, not open to new ideas, not professional, and lots of he said she said. When the warehouse first opened it was very warm and management was great, then it went down hill, you could tell they hated their jobs.",Unsatisfied,Early Career,2017-06-07T20:10:12.211308-04:00,inhersight,amazon
"Amazon is the epitome of white male privilege. amazon have great intentions towards providing a diverse workplace, but in reality do not.  Women , specifically those in the creative field, are bypassed for promotions, denigrated, demeaned and ignored. ",Very unsatisfied,Senior-Level,2017-06-04T11:34:11.995997-04:00,inhersight,amazon
Females are well respected but they seem to have a harder time with promotions.,Satisfied,Mid-Level,2017-06-03T03:56:02.256153-04:00,inhersight,amazon
Your happiness is heavily dependent upon your organization. ,Neither satisfied nor unsatisfied,Mid-Level,2017-06-02T00:55:43.374800-04:00,inhersight,amazon
Amazon is a hard place to work for,Very satisfied,Early Career,2017-05-24T12:28:13.257846-04:00,inhersight,amazon
"I have found my experience to be demoralizing because I came in with ambition, big goals, and bought in to the endless opportunity Amazon markets to candidates. My experience has been very different from what was sold to me from recruiters to hiring managers. Amazon is very classist, if you are not in a senior role then you're labeled as ineffective. New opportunities are in high demand and hard to come by.  If you are not careful (treat everyday like you are on thin ice) then your peers and leadership will discredit you until you ultimately leave the company. The turnover rate is kept hush-hush for good reason, we can't keep intelligent people for very long.",Very unsatisfied,Mid-Level,2017-05-22T19:39:36.817534-04:00,inhersight,amazon
"Amazon is better than a lot of places I have worked. However, being the wealthiest company in the world,  you would think they could afford to pay people more, provide better insurance,have more sick time and provide wellness and childcare programs. ",Unsatisfied,Early Career,2017-05-13T02:01:38.765650-04:00,inhersight,amazon
"Hugely unorganized. The work, benefits are good, but they overwork everyone. Mandatory OT for weeks on end. Management tends to be cliquey and let friends get away with things anyone else would be immediately fired for. (playing on the internet or socializing during and entire shift or even sleeping during a shift)",Neither satisfied nor unsatisfied,Early Career,2017-05-11T18:09:38.506664-04:00,inhersight,amazon
"I have had many fantastic opportunities at Amazon, and I love the flexibility that I have to be with my family when needed.",Very satisfied,Early Career,2017-05-09T18:19:52.540035-04:00,inhersight,amazon
Women in all levels of management. Mothers Room for privacy. Equal pay. Free feminine products in the ladies room. ,Very satisfied,Early Career,2017-05-08T15:43:24.992092-04:00,inhersight,amazon
Dd,Unsatisfied,Early Career,2017-05-07T05:47:48.173561-04:00,inhersight,amazon
They work you to the bone then fire you when you cant keep up anymore.,Unsatisfied,Early Career,2017-05-02T19:22:01.349432-04:00,inhersight,amazon
"Most promotions go to men. And the women management that they do have, they cycle them out faster than most (excluding hr). And if the management doesn't like you then your ass good as gone. They'll harass you until you quit.",Unsatisfied,,2017-04-10T15:23:04.182357-04:00,inhersight,amazon
They try to promote females but fail. The ones they have high up give us a bad reputation. ,Unsatisfied,,2017-04-06T09:29:22.522702-04:00,inhersight,amazon
"You're allowed 18 minutes ""off task"" in your ten hour shift to go to the bathroom, and if you're on a conveyor position, you'll have to hit an alarm and then wait for a manager to cover your station before you're allowed to go. 99% of the time this manager will be male and will make you feel awkward for asking to go more than twice a day. They'll also ALWAYS send a male manager to ""address going over your time off task quota"" aka scold you for needing to go to the bathroom. It might be less of an issue if we had more than 2 30 minute breaks for the whole ten hour day, and if walking to and from break took less than five minutes each way.

I'm sure someone else has gone into depth about the huge problem Amazon has with underreporting repetitive motion injuries and their vastly disproportionate young white male majority in leadership- but this is not that write up. I'm here to solely to warn you, if you don't like having your bathroom habits monitored and controlled, this is definitely a hellish workplace. If you suffer from PMDD or even just a generally awful period, seriously don't subject yourself to this. ",Very unsatisfied,Early Career,2017-04-05T00:55:54.279966-04:00,inhersight,amazon
"Overall, I do not mind my job. However, it always seems that there are far less women in higher positions. On top of that, sexual harassment by coworkers is often rampant and it does not seem that much is done about it. In my own personal experiences, hardly anything was done about the coworkers I reported for sexual harassment. These are my two biggest concerns with my job. ",Unsatisfied,Early Career,2017-04-03T10:14:48.028052-04:00,inhersight,amazon
"It was openly supported to treat women differently,  to talk over them in meetings,  to have a totally different grading scale for work.  If a man wanted your project or job,  they would accuse  women of 'being emotional'  because they couldn't find fault in the work and that was good enough to have a woman removed from the position.  Men took credit for others work and you were never allowed to use facts against a man in a meeting.  ",Very unsatisfied,Mid-Level,2017-04-01T17:35:18.899993-04:00,inhersight,amazon
Very physically demanding job. Has good days and bad. ,Satisfied,,2017-03-31T21:52:29.575291-04:00,inhersight,amazon
Amazon has a lot to offer if you're willing to give your life to your work. I was working 60 to 70 hour work weeks and then was told I need to work more. There are opportunities for advancement but it's all about the people you know.,Unsatisfied,Mid-Level,2017-03-31T20:00:31.745169-04:00,inhersight,amazon
Amazon does not do as good a job of using data to drive decision-making about employee support as it could. ,Neither satisfied nor unsatisfied,Mid-Level,2017-03-30T10:00:51.597615-04:00,inhersight,amazon
AWS is as bad as you read in the New York Times. I only stayed a year and have taken an executive position in another major tech company. I have almost 20 years experience and AWS was awful. Not recommended especially for women. They're years behind in diversity and tolerate behavior other employers would fire employees for immediately. It was appalling.  It's hostile and women are treated like admins regardless of their expertise and experience.,Very unsatisfied,Mid-Level,2017-03-25T20:39:36.470390-04:00,inhersight,amazon
I am unreasonably happy in my job.  I work with strong women leaders and I have great opportunities to learn from them.,Very satisfied,Senior-Level,2017-03-20T21:32:32.329261-04:00,inhersight,amazon
Amazon does not seem to value is employees. I left because I quickly learned I had little chance of being promoted. I would never work there again.,Unsatisfied,Early Career,2017-03-14T19:42:11.941577-04:00,inhersight,amazon
"I feel like it is time we are honest when someone, especially a big business, gets it right. Amazin gets it right in a big way. ",Very satisfied,Early Career,2017-03-02T11:54:23.547357-05:00,inhersight,amazon
"Amazon has its ups and downs but is definitely a good workplace that is always moving forward in positive ways, I'm happy to be a woman working for this company",Very satisfied,Early Career,2017-02-28T21:06:00.839912-05:00,inhersight,amazon
I am a recruiter with in the tech department. I am run ragged on a daily basis. I was not properly trained yet when given a chance to be trained we were forced to work while in the training. I have a brain/memory disorder that requires me to work harder than the average person to absorb new information/processes. I asked if it would be possible to work from home every now and then so that the stress from the daunting office day to day won't interfere with my learning process. When I did this I was told that if I had the will to learn I would find a way! I am currently in the process of looking for a new job at a new company!,Unsatisfied,Mid-Level,2017-02-24T13:52:48.575697-05:00,inhersight,amazon
"Great benefits, excellent parental leave, great people to work with very diverse. Not a lot of women in leadership roles though",Satisfied,,2017-02-24T11:08:27.866438-05:00,inhersight,amazon
There are no females in senior management.  There are currently less women in management on the floor than I have fingers on my left hand. Tampon dispensers are always empty. Bathrooms are nasty. Men are not held accountable for sexual harassment in my experience whether it was physical or verbal. The benefits for maternity are amazing but LOA team makes it near impossible to get these benefits by not returning calls and giving you the run around and not answering you. There is no on-site representation so everything has to be done via phone and during their work hours; which does not match up with many of MKE1 full-time shifts. ,Neither satisfied nor unsatisfied,Early Career,2017-02-23T15:23:24.772682-05:00,inhersight,amazon
Though the workforce is fairly even and lower management levels have pretty even levels of female equivalents the higher managers seem to be primarily male.  Parental leave and personal paid and unpaid time as well as vacation are great perks along with healthcare that make it easier to have a family and work here,Satisfied,Early Career,2017-02-22T12:47:20.318792-05:00,inhersight,amazon
"I was told I was not chummy enough with fellow managers (all male, discussed only sports) given poor review based on feelings, contrary to performance metrics. Took a leave of absence which was treated with disdain by hr and Sr mgmt. Was told management did not use personal time for illness, or only when ""legitimately sick"" without any knowledge of my illness. ",Very unsatisfied,Senior-Level,2017-02-18T00:08:56.689396-05:00,inhersight,amazon
My main issue is the policy of time off task wich covers bathroom breaks.  Certain positions make it almost 100% sure that you'll be far away from a bathroom with only a 5 minute window to get there use the bathroom and back before time is counting against you.,Neither satisfied nor unsatisfied,Early Career,2017-02-09T19:10:29.049986-05:00,inhersight,amazon
"Working at Amazon you are expected to work all the time. If you get an email or phone call at 2am, you are expected to reply at 2am. You are never off. Ever. You will work with the smartest people you have ever known. You will learn more than you ever have. And after a year or two, you will be more exhausted than you have ever been. It is not uncommon to see men and women crying at their desks and in the hallways.",Unsatisfied,Senior-Level,2017-02-08T13:52:49.236589-05:00,inhersight,amazon
I love amazon and have been learning so much. It's one of those jobs if you do it for a long time you can be amazing or you can move up.,Very satisfied,,2017-01-31T12:57:09.176034-05:00,inhersight,amazon
"Amazon is actually very fair.  I've moved up,  there are a good amount of female leaders,  though my building is mostly males. ",Satisfied,Mid-Level,2017-01-13T20:41:13.603471-05:00,inhersight,amazon
"Amazon is very progressive and very diverse. Women get free tampons and pads, the ratio of women to men management is the best I've seen at any job, and there is a very inclusive environment. Enjoyable working environment and HR cares about the employees",Satisfied,Early Career,2017-01-11T22:25:12.307271-05:00,inhersight,amazon
"I was sexually harassed almost daily and a lot of males seemed to have my back, but mainly because they thought I was cute or wanted to have sex with me. It also seemed to be a male dominated environment, so I suppose that could have been part of it. ",Unsatisfied,Early Career,2017-01-09T19:03:15.677804-05:00,inhersight,amazon
Second Full filament center I've worked at...love a company that as a female even provides hygiene products without feeling the need to charge us for them. It's the little things that sometimes make the biggest difference. ,Very satisfied,Early Career,2017-01-06T11:47:43.396176-05:00,inhersight,amazon
"On the outside, it looks progressive. On the inside, associates and power leadership are thorns in the side. It's so hard to get meetings with upper management. They have no time to work with you on your development. It's so sad.",Unsatisfied,Mid-Level,2017-01-06T04:58:18.006426-05:00,inhersight,amazon
"Amazon is an amazing company to work for!  The pay, benefits and accommodations for all scenarios are outstanding. From my father's death to my own health issues, they have always gone above and beyond to assist however they can. They also encourage furthering education,  and pay 95% after one year. I could go on and on about all that they provide for employees! ",Very satisfied,Early Career,2017-01-04T00:29:49.905876-05:00,inhersight,amazon
We aren't offered anything and if you don't measure up you're gone. Not allowed to talk about it. It's forbidden. ,Very unsatisfied,Early Career,2017-01-03T19:22:41.280044-05:00,inhersight,amazon
"Although it is not the horrible company that a lot of reviews state, there is still much room for improvement. If a salaried manager is working 13 hour days instead of 10, do not get upset when they go home early for being sick once in awhile, or quickly ask if they put in their time for it. Salaried managers usually give much time at work plus time at home working from their computers to assist the company in its growth. Conduct thorough reviews on your Sr Management team to ensure they do not play favorites at sites, which can cause low morale and unneeded drama. Lastly, create a better on-boarding for the college hires that become managers. Some of these students have never worked a day in their life and they are now in charge of 50+ people. In order for them and the company to be successful provide tracked training site specific. ",Satisfied,Mid-Level,2016-12-28T21:56:26.356816-05:00,inhersight,amazon
Always considerate and understanding ,Satisfied,Early Career,2016-12-07T09:01:18.751947-05:00,inhersight,amazon
"Women are often excluded from conversations, or when they are present, things are not said. Even in management, women are given less projects and analytical expectations, yet are held to higher standards of professional conduct, especially when handling their emotions. When a woman is doing anything other than smiling or agreeing, if she is lucky enough to even be heard, she is told to step back and evaluate how she's speaking or portraying her face for the sake of her OLR. It's your good old fashioned boys' club, with a powerful modern nuance.",Very unsatisfied,Mid-Level,2016-12-03T19:04:40.930351-05:00,inhersight,amazon
"I've experienced that I'm paid less than my male counter parts at every level in the company I've worked. Same job, same years of experience, less pay. Cannot receive a merit increase except for at specific times of the year and if granted, it's the same as everyone's so even if a raise is provided, my male colleagues get the same raise, never decreasing the wage gap.",Unsatisfied,Early Career,2016-12-02T15:46:44.762263-05:00,inhersight,amazon
"Male management is actively dismissive of female management. Getting your voice heard in meetings is agony. My male counterparts have less experience and education than I do and make more money than I do -- their total compensation is higher. Other female managers have mentioned in private that they have discovered the same issue at their own buildings. And yes, I have spoken in specifics with my male colleagues about our total compensation packages - down to RSU vesting schedules. Male managers who excel are promoted aggressively. Female managers who excel are kept in their positions because they're ""too valuable.""",Very unsatisfied,Mid-Level,2016-11-19T20:41:11.148524-05:00,inhersight,amazon
"Amazon belittles and humiliated those to work hard, are successful and can achieve greatness for the overall well-being of the company. Providing input and suggestions isn't welcome and proposing higher positions for the same work is looked down upon. Getting demoted and eventually fired because of continued determination for the success of you and your peers is a very real possibility. Amazon does not acknowledge their own mistakes, but instead blames those who work hard daily to provide for the company, and especially if you make calls to ethics and report your managers for being ethically challenged and sexist, racist, egotistical ""leaders"". ",Very unsatisfied,Early Career,2016-11-19T20:03:39.089830-05:00,inhersight,amazon
"They need a culture of Emotional IQ. The Indian men are the worst offenders  and tech leadership is crawling with them. Horrible unconscious bias. The worst in 20 years of being in the industry. Even the women are biased towards other women. I can't wait to find another job, but the pay chains me there till I find one and at my level it takes a while.",Unsatisfied,Senior-Level,2016-11-18T19:59:59.946039-05:00,inhersight,amazon
Great for someone wanting to get their foot in the door with a large company. A ton of room to move up if you're willing to wait. BUT Management changes often and you are more of a number than a person. ,Neither satisfied nor unsatisfied,Mid-Level,2016-11-17T18:00:52.259334-05:00,inhersight,amazon
Amazon has men and women in the same positions. They are paid the same. Amazon also supplies feminine hygiene products (pads and tampons) in all bathrooms for free. ,Very satisfied,Early Career,2016-11-15T14:34:06.178993-05:00,inhersight,amazon
"The place runs on testosterone, adversity and being 'frugal'. It is not uncommon to see internal threads about why it is unfair for the company to be offering medical benefits for new moms (and very recently dads), when people who choose not to have kids don't anything comparable. No wonder the only female Jeff B technical advisor (TA) had to be way overqualified for the job, (CEO of Quidsi vs director-level for most men chosen for the job) and was chosen 20 years into the company's existence. For those who don't know, this TA position is basically the way high potential talent gets groomed for positions like VP. She was already at a CEO level. ",Very unsatisfied,Senior-Level,2016-11-15T02:25:54.315026-05:00,inhersight,amazon
"Though Amazon has improved  maternal and paternal leave, it is not an environment friendly to family life or work life balance. The hours pace and general base level requirements make it difficult to take any sort of time off. ",Unsatisfied,Mid-Level,2016-11-14T17:58:08.661205-05:00,inhersight,amazon
"Free feminine products in the restroom. Access to free pain relievers, although not a women specific product it's certainly helpful. The facility also has a lactation room. ",Very satisfied,Early Career,2016-11-14T16:54:05.349496-05:00,inhersight,amazon
"A great place to work! Professional, fun and respectful culture. Positive managers who really care about everyone as they reach targeted goals. The focus is not just on the client, which is well known with Amazon, but also the employee needs as well through flexible schedules, a fair wage, excellent benefits, great training, a nursing room for lactating mothers, break rooms that offer offer free food, water, coffee, games and a widescreen tv. Everyone is treated with respect and there is even a computer room that employees can use at break and lunch to search for other positions! Equal opportunities are evident here. Love working for Amazon! ",Very satisfied,Early Career,2016-11-03T20:19:43.782955-04:00,inhersight,amazon
"It's a great place to work if you are in the right role. I only wish we valued employee time more, and worked to leverage them for the roles they are hired for ",Neither satisfied nor unsatisfied,Mid-Level,2016-10-25T17:13:41.855627-04:00,inhersight,amazon
Current ops admin for a new site. My knowledge of the benefits the company provides leads me to believe that this company is absolutely a great place for women and parents in general to work. I work long hours but only 4 days a week and the pay I receive is absolutely competitive. ,Satisfied,Early Career,2016-09-22T19:29:47.286717-04:00,inhersight,amazon
You should ask about work-life balance company can have good terms but make you work a lot this does not enable to grow your family.,Unsatisfied,Mid-Level,2016-09-01T11:16:28.951879-04:00,inhersight,amazon
